Date,Open,High,Low,Close,Adj Close,Volume
2019-04-16,633.000000,667.799988,630.000000,654.799988,639.270508,22985293
2019-04-18,656.900024,664.900024,614.000000,643.549988,628.287231,5415019
2019-04-22,643.000000,645.799988,625.250000,628.099976,613.203674,1059760
2019-04-23,628.000000,648.000000,628.000000,634.099976,619.061401,1208860
2019-04-24,636.500000,640.000000,628.250000,637.500000,622.380737,1016453
2019-04-25,639.200012,652.000000,633.000000,639.599976,624.430969,1261972
2019-04-26,642.000000,647.400024,640.000000,644.650024,629.361206,594976
2019-04-30,646.950012,646.950012,630.150024,639.250000,624.089294,519904
2019-05-02,638.900024,651.000000,631.000000,641.250000,626.041870,514478
2019-05-03,642.700012,646.000000,637.650024,641.849976,626.627625,271431
2019-05-06,638.000000,649.900024,633.000000,642.700012,627.457520,425268
2019-05-07,644.950012,653.500000,643.000000,648.599976,633.217468,580548
2019-05-08,646.000000,648.000000,640.150024,646.000000,630.679138,264484
2019-05-09,646.250000,647.400024,639.349976,645.700012,630.386230,301291
2019-05-10,646.049988,677.700012,645.299988,655.150024,639.612183,771913
2019-05-13,660.599976,662.000000,651.049988,654.900024,639.368042,301861
2019-05-14,656.000000,659.750000,626.299988,633.750000,618.719727,1069899
2019-05-15,620.000000,625.700012,602.000000,620.650024,605.930420,1442391
2019-05-16,625.000000,625.000000,583.299988,599.349976,585.135559,918393
2019-05-17,596.150024,601.500000,587.000000,595.700012,581.572144,328115
2019-05-20,610.000000,612.650024,595.000000,604.849976,590.505127,728223
2019-05-21,605.000000,609.000000,599.000000,605.049988,590.700317,252936
2019-05-22,605.049988,623.599976,601.099976,609.750000,595.288940,282577
2019-05-23,614.500000,619.650024,600.000000,601.900024,587.625061,200009
2019-05-24,605.000000,609.750000,602.349976,605.150024,590.798035,150951
2019-05-27,608.750000,633.000000,606.250000,620.200012,605.491028,262413
2019-05-28,625.099976,630.000000,621.400024,625.750000,610.909485,113154
2019-05-29,622.099976,629.650024,618.000000,619.950012,605.247009,69546
2019-05-30,616.150024,623.700012,612.650024,618.900024,604.221863,81235
2019-05-31,620.150024,622.750000,608.299988,610.849976,596.362793,175173
2019-06-03,614.000000,614.799988,602.450012,607.900024,593.482788,150151
2019-06-04,609.900024,620.000000,606.099976,610.599976,596.118774,67372
2019-06-06,610.799988,613.950012,602.500000,604.400024,590.065857,46935
2019-06-07,609.049988,609.099976,601.049988,602.049988,587.771484,30262
2019-06-10,605.000000,609.000000,597.599976,602.500000,588.210876,46966
2019-06-11,602.000000,606.900024,600.000000,600.750000,586.502319,47063
2019-06-12,600.049988,602.799988,595.150024,595.950012,581.816101,46869
2019-06-13,600.049988,604.400024,590.000000,594.450012,580.351807,73943
2019-06-14,592.099976,599.900024,590.099976,596.000000,581.864990,44727
2019-06-17,596.000000,596.000000,587.000000,588.750000,574.786926,41259
2019-06-18,588.599976,593.500000,586.250000,589.150024,578.123291,43498
2019-06-19,590.150024,591.450012,578.000000,585.650024,574.688904,103810
2019-06-20,591.000000,594.000000,581.099976,589.900024,578.859314,39822
2019-06-21,590.000000,594.799988,588.000000,592.349976,581.263367,28836
2019-06-24,590.250000,599.000000,590.000000,596.299988,585.139404,41015
2019-06-25,595.000000,604.500000,593.049988,601.400024,590.144043,50422
2019-06-26,600.049988,614.750000,600.000000,611.849976,600.398438,104768
2019-06-27,611.849976,614.400024,606.000000,613.450012,601.968445,31569
2019-06-28,613.000000,624.900024,613.000000,622.049988,610.407532,68813
2019-07-01,626.400024,646.000000,626.400024,643.349976,631.308838,347594
