Date,Open,High,Low,Close,Adj Close,Volume
2016-12-07,839.099976,851.450012,839.099976,847.950012,795.162170,12658
2016-12-08,850.000000,852.150024,840.049988,844.599976,792.020813,21888
2016-12-09,842.000000,851.200012,840.049988,849.700012,796.803284,47462
2016-12-12,850.000000,850.000000,835.000000,836.349976,784.284302,15969
2016-12-13,839.049988,839.849976,781.000000,798.049988,748.368652,280525
2016-12-14,798.000000,802.000000,781.549988,790.200012,741.007263,22506
2016-12-15,797.900024,804.000000,788.049988,796.400024,746.821472,12368
2016-12-16,796.099976,804.950012,793.950012,800.400024,750.572327,17562
2016-12-19,800.000000,814.950012,785.349976,794.750000,745.274170,15898
2016-12-20,805.549988,805.549988,785.349976,790.150024,740.960388,11880
2016-12-21,792.250000,800.000000,784.000000,786.549988,737.584534,10013
2016-12-22,799.700012,799.950012,782.000000,788.750000,739.647522,13786
2016-12-23,792.200012,796.000000,782.299988,794.150024,744.711365,16413
2016-12-26,790.000000,795.549988,774.200012,779.750000,731.207764,37566
2016-12-27,785.000000,790.000000,773.000000,782.150024,733.458496,23154
2016-12-28,785.000000,788.299988,777.900024,782.250000,733.552246,12119
2016-12-29,788.000000,792.900024,779.000000,784.650024,735.802795,14413
2016-12-30,787.000000,800.000000,779.950012,787.900024,738.850525,13003
2017-01-02,799.000000,809.799988,780.099976,805.299988,755.167297,14651
2017-01-03,792.200012,812.000000,792.200012,810.150024,759.715332,11705
2017-01-04,811.299988,813.500000,805.049988,807.750000,757.464722,13327
2017-01-05,812.500000,815.000000,805.000000,809.849976,759.433960,20554
2017-01-06,804.500000,812.950012,801.049988,804.000000,753.948242,46621
2017-01-09,808.500000,819.950012,802.000000,818.049988,767.123535,10809
2017-01-10,814.250000,819.400024,800.349976,804.500000,754.417053,15368
2017-01-11,804.500000,812.000000,800.049988,804.450012,754.370117,8370
2017-01-12,809.099976,811.849976,802.000000,805.500000,755.354919,6951
2017-01-13,803.000000,815.000000,803.000000,811.099976,760.606201,10413
2017-01-16,805.000000,819.900024,803.000000,816.799988,765.951355,9245
2017-01-17,817.000000,819.900024,806.000000,814.799988,764.075928,9263
2017-01-18,814.900024,834.900024,806.549988,824.099976,772.796875,11203
2017-01-19,827.500000,839.950012,815.000000,827.750000,776.219727,14302
2017-01-20,830.049988,849.000000,825.500000,839.349976,787.097412,19083
2017-01-23,813.000000,844.950012,813.000000,838.799988,786.581726,29138
2017-01-24,838.000000,840.049988,825.049988,836.400024,784.331238,21592
2017-01-25,826.000000,849.950012,826.000000,847.400024,794.646423,41946
2017-01-27,842.500000,844.950012,827.500000,834.500000,782.549561,18886
2017-01-30,834.950012,872.500000,828.000000,845.849976,793.192932,40526
2017-01-31,850.099976,854.750000,825.000000,837.700012,785.550232,32861
2017-02-01,830.049988,845.000000,815.049988,837.049988,784.940735,40962
2017-02-02,837.000000,845.849976,828.099976,840.549988,788.222900,31098
2017-02-03,836.000000,839.799988,814.299988,821.500000,770.358765,29530
2017-02-06,817.000000,824.900024,814.299988,818.150024,767.217346,21670
2017-02-07,816.049988,818.299988,795.099976,798.849976,749.118713,24269
2017-02-08,799.049988,800.000000,795.700012,797.450012,747.805908,15466
2017-02-09,804.950012,804.950012,792.000000,799.299988,749.540771,13599
2017-02-10,804.950012,804.950012,790.000000,799.250000,749.493896,11890
2017-02-13,806.599976,806.599976,790.000000,791.450012,742.179504,8410
2017-02-14,794.950012,798.900024,790.000000,792.250000,742.929749,11724
2017-02-15,793.000000,793.950012,780.049988,785.200012,736.318542,24886
2017-02-16,781.500000,800.000000,781.500000,789.700012,740.538452,20258
2017-02-17,798.000000,798.000000,786.000000,787.150024,738.147278,7586
2017-02-20,787.000000,792.500000,781.000000,783.650024,734.865112,12479
2017-02-21,787.900024,788.000000,775.049988,779.049988,730.551392,14003
2017-02-22,787.950012,789.000000,777.000000,779.450012,730.926575,13700
2017-02-23,784.950012,784.950012,775.000000,777.599976,729.191589,26613
2017-02-27,779.849976,789.549988,773.099976,775.400024,727.128784,65949
2017-02-28,776.000000,779.900024,770.200012,773.500000,725.346863,10098
2017-03-01,773.750000,779.799988,770.500000,774.250000,726.050232,13693
2017-03-02,774.500000,777.900024,770.049988,773.700012,725.534363,11727
2017-03-03,775.000000,775.000000,761.950012,764.799988,717.188477,106959
2017-03-06,774.950012,779.950012,766.000000,771.200012,723.190063,49539
2017-03-07,768.200012,777.000000,768.200012,774.500000,726.284729,45808
2017-03-08,779.000000,782.900024,759.000000,761.650024,714.234619,198453
2017-03-09,762.000000,769.950012,761.650024,766.700012,718.970215,10338
2017-03-10,768.150024,773.049988,765.049988,768.099976,720.283081,6751
2017-03-14,769.950012,774.950012,765.049988,769.799988,721.877319,27368
2017-03-15,768.549988,786.500000,767.000000,784.599976,735.756042,38460
2017-03-16,782.799988,788.599976,780.049988,785.400024,736.506104,20848
2017-03-17,788.500000,788.500000,770.099976,775.150024,726.894165,14575
2017-03-20,765.049988,785.000000,765.049988,779.950012,731.395447,32183
2017-03-21,779.049988,782.900024,775.049988,777.900024,729.473083,20678
2017-03-22,775.049988,784.900024,775.049988,781.750000,733.083374,13407
2017-03-23,780.000000,786.000000,778.900024,782.299988,733.599121,20006
2017-03-24,781.099976,784.250000,775.349976,779.349976,730.832764,109761
2017-03-27,780.000000,780.500000,770.000000,773.200012,725.065674,16456
2017-03-28,777.150024,777.150024,766.549988,771.500000,723.471558,15761
2017-03-29,771.450012,774.450012,760.049988,762.150024,714.703613,370203
2017-03-30,761.000000,768.650024,761.000000,767.299988,719.532837,15799
2017-03-31,762.500000,787.000000,762.000000,778.599976,730.129395,42947
2017-04-03,779.950012,787.950012,779.099976,785.299988,736.412354,65052
2017-04-05,785.049988,804.000000,782.000000,792.549988,743.210999,24832
2017-04-06,795.000000,802.400024,790.049988,793.750000,744.336304,49628
2017-04-07,790.049988,797.950012,790.049988,794.500000,745.039673,24474
2017-04-10,794.400024,795.450012,790.049988,791.250000,741.992004,22722
2017-04-11,794.950012,794.950012,785.049988,789.650024,740.491455,22412
2017-04-12,790.700012,791.150024,773.000000,775.849976,727.550659,18092
2017-04-13,778.150024,790.000000,772.000000,778.150024,729.707397,17160
2017-04-17,779.400024,782.200012,761.650024,765.750000,718.079346,15590
2017-04-18,769.950012,769.950012,750.200012,757.750000,710.577332,24342
2017-04-19,759.950012,759.950012,745.000000,747.250000,700.731018,22684
2017-04-20,749.950012,751.500000,739.099976,740.700012,694.588806,44865
2017-04-21,751.000000,751.000000,729.000000,735.900024,690.087708,63482
2017-04-24,739.000000,742.750000,732.299988,736.450012,690.603455,19622
2017-04-25,738.000000,739.950012,734.599976,737.849976,691.916199,107996
2017-04-26,742.950012,747.000000,738.049988,745.049988,698.667969,17303
2017-04-27,747.000000,758.799988,740.049988,756.400024,709.311523,15859
2017-04-28,760.000000,777.849976,755.000000,768.250000,720.423706,25344
2017-05-02,769.000000,776.099976,764.700012,771.750000,723.705872,16768
2017-05-03,780.000000,787.000000,775.099976,784.200012,735.380859,42473
2017-05-04,775.150024,795.700012,770.000000,780.549988,731.958008,141062
2017-05-05,775.549988,789.950012,769.000000,771.349976,723.330750,46935
2017-05-08,773.000000,776.950012,763.000000,771.549988,723.518372,11253
2017-05-09,766.750000,770.900024,755.000000,759.500000,712.218567,12584
2017-05-10,761.049988,762.000000,750.400024,754.650024,707.670410,300853
2017-05-11,750.900024,764.950012,750.000000,759.799988,712.499878,46322
2017-05-12,756.200012,766.500000,755.000000,759.799988,712.499878,10695
2017-05-15,769.950012,772.000000,760.049988,766.549988,718.829651,11865
2017-05-16,763.049988,771.000000,763.049988,768.750000,720.892639,7209
2017-05-17,768.750000,768.750000,760.000000,763.950012,716.391602,66684
2017-05-18,764.599976,764.849976,760.000000,762.200012,714.750366,8635
2017-05-19,760.000000,764.950012,755.049988,757.049988,709.920959,43975
2017-05-22,755.500000,759.049988,745.049988,747.849976,701.293762,12414
2017-05-23,754.849976,754.849976,732.450012,735.299988,689.525024,17089
2017-05-24,739.950012,740.950012,732.200012,736.700012,690.837830,9931
2017-05-25,737.000000,740.950012,732.049988,737.549988,691.634949,10622
2017-05-26,744.700012,754.950012,737.549988,748.500000,701.903198,37289
2017-05-29,746.000000,747.849976,731.049988,734.349976,688.634155,11083
2017-05-30,736.000000,745.000000,734.500000,736.099976,690.275269,8466
2017-05-31,739.900024,739.900024,732.000000,736.099976,690.275269,11583
2017-06-01,735.000000,739.950012,733.049988,737.000000,691.119263,29318
2017-06-02,735.250000,739.950012,733.549988,736.700012,690.837830,29412
2017-06-05,777.000000,777.000000,735.049988,739.150024,693.135315,12756
